Relatório de palavras-chave da rede de pesquisa
27 de março de 2026 - 23 de abril de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Impr.,Interações,Taxa de interação,Código da moeda,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
Ativado,"""portal nacional nfse""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,9,0,"0,00%",BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Pausado,programa para baixar pdf nota de serviço,Correspondência ampla,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado; raramente exibido,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Pausado,baixar notas fiscais em lote xml e pdf,Correspondência ampla,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado; raramente exibido,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Ativado,"""download nfse""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,432,93,"21,53%",BRL,"0,89","82,36",93,"13,98%","13,00","0,89","6,34"
Ativado,"""baixar notas em lote portal nacional""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,28,1,"3,57%",BRL,"0,85","0,85",1,"0,00%","0,00","0,85","0,00"
Ativado,"""baixar xml nfse""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,25,2,"8,00%",BRL,"0,83","1,66",2,"0,00%","0,00","0,83","0,00"
Pausado,baixar nfse do portal nacional em massa,Correspondência ampla,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado; raramente exibido,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Pausado,"""notas fiscais lote""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado; raramente exibido,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Pausado,"""programa baixar xml nfse""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado; raramente exibido,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Pausado,download xml e pdf portal da nota nacional,Correspondência ampla,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado; raramente exibido,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Ativado,"""xml em lote""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,87,12,"13,79%",BRL,"1,17","14,06",12,"8,33%","1,00","1,17","14,06"
Ativado,"""download xml nfse""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,351,14,"3,99%",BRL,"1,15","16,12",14,"0,00%","0,00","1,15","0,00"
Ativado,"""baixar notas em lote""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,2,0,"0,00%",BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Ativado,"""download nfse portal nacional""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Ativado,"""baixador de xml""",Correspondência de frase,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Qualificado,,,621,40,"6,44%",BRL,"0,94","37,76",40,"5,00%","2,00","0,94","18,88"
Pausado,download pdf nota fiscal de serviço nacional,Correspondência ampla,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado; raramente exibido,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
Pausado,baixar xml portal nacional nfse,Correspondência ampla,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,Pausado,pausado,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --, --, --,,,1.555,162,"10,42%",BRL,"0,94","152,81",162,"9,88%","16,00","0,94","9,55"
,,Total: Palavras-chave na sua conta,,,,,,1.555,162,"10,42%",BRL,"0,94","152,81",162,"9,88%","16,00","0,94","9,55"
,,Total: Suas palavras-chave,,,,,,1.555,162,"10,42%",BRL,"0,94","152,81",162,"9,88%","16,00","0,94","9,55"
,,Total: Correspondências expandidas da AI Max,,,,,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total: Correspondências de páginas de destino da AI Max,,,,,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total: Inclusões de URL na sua conta,,,,,,0,0, --,BRL,0,"0,00",0,"0,00%","0,00",0,"0,00"
,,Total: Conta,,,,,,9.305,207,"2,22%",BRL,"0,85","176,71",207,"8,21%","17,00","0,85","10,39"
,,Total: Display,,,,,,7.750,45,"0,58%",BRL,"0,53","23,90",45,"2,22%","1,00","0,53","23,90"
,,Total: Pesquisa,,,,,,1.555,162,"10,42%",BRL,"0,94","152,81",162,"9,88%","16,00","0,94","9,55"
