Data,Cliques,Impressões,CTR,Posição
2026-03-06,0,0,,
2026-03-07,0,0,,
2026-03-08,0,0,,
2026-03-09,0,2,0%,9
2026-03-10,0,1,0%,6
2026-03-11,0,10,0%,6.9
2026-03-12,0,14,0%,5.5
2026-03-13,0,12,0%,9.7
2026-03-14,0,6,0%,6
2026-03-15,0,4,0%,6
2026-03-16,1,4,25%,6
2026-03-17,2,10,20%,4.5
2026-03-18,0,3,0%,4.3
2026-03-19,0,4,0%,6.8
2026-03-20,0,1,0%,58
2026-03-21,0,0,,
2026-03-22,0,2,0%,5.5
2026-03-23,0,0,,
2026-03-24,0,2,0%,4.5
2026-03-25,1,14,7.14%,5.3
2026-03-26,0,4,0%,4.2
2026-03-27,0,2,0%,2.5
2026-03-28,0,2,0%,11
2026-03-29,0,4,0%,8.2
2026-03-30,0,9,0%,3.6
2026-03-31,0,5,0%,2.4
2026-04-01,0,5,0%,4.8
2026-04-02,0,6,0%,4.3
2026-04-03,0,5,0%,12.4
2026-04-04,0,8,0%,4.9
2026-04-05,0,0,,
2026-04-06,0,5,0%,6.2
2026-04-07,1,4,25%,4.2
2026-04-08,0,9,0%,7
2026-04-09,1,4,25%,5.8
2026-04-10,0,5,0%,2.4
2026-04-11,0,9,0%,6.2
2026-04-12,0,55,0%,11.7
2026-04-13,0,14,0%,27.8
2026-04-14,0,20,0%,10.6
