País,Cliques,Impressões,CTR,Posição
Brasil,5,88,5.68%,12.94
Tailândia,1,2,50%,8
Estados Unidos,0,110,0%,6.97
Índia,0,6,0%,10
Canadá,0,5,0%,4.4
Reino Unido,0,4,0%,3.5
Colômbia,0,3,0%,1
Taiwan,0,3,0%,4
Argentina,0,3,0%,8.33
Bangladesh,0,2,0%,2
Paraguai,0,2,0%,2.5
Peru,0,2,0%,6.5
Sérvia,0,2,0%,6.5
Irã,0,2,0%,7.5
Vietnã,0,2,0%,7.5
Espanha,0,2,0%,9.5
Rússia,0,2,0%,10
Turquia,0,2,0%,10.5
China,0,2,0%,12.5
França,0,1,0%,1
Hong Kong,0,1,0%,1
Tanzânia,0,1,0%,1
Emirados Árabes Unidos,0,1,0%,2
Austrália,0,1,0%,2
Alemanha,0,1,0%,2
Camboja,0,1,0%,2
Arábia Saudita,0,1,0%,2
Irlanda,0,1,0%,3
Dinamarca,0,1,0%,4
Argélia,0,1,0%,4
Luxemburgo,0,1,0%,5
Panamá,0,1,0%,5
Coréia do Sul,0,1,0%,6
Países Baixos,0,1,0%,8
Japão,0,1,0%,9
Grécia,0,1,0%,10
Polônia,0,1,0%,15
Palestina,0,1,0%,15
México,0,1,0%,17
